Team,Season,gameId,OpposingTeam,gameDate,home_or_away,situation,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,blockedShotAttemptsFor,goalsFor,savedShotsOnGoalFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,xGoalsAgainst,shotsOnGoalAgainst,blockedShotAttemptsAgainst,goalsAgainst,savedShotsOnGoalAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,powerPlayxGoalsFor,powerPlayxGoalsAgainst,shortHandedxGoalsAgainst,otherxGoalsFor,otherxGoalsAgainst,shortHandedxGoalsFor,fiveOnFivexGoalsFor,fiveOnFivexGoalsAgainst,fiveOnfiveFenwickPercentage,fiveOnfiveCorsiPercentage,last_10_avg_xgoals_for,last_10_avg_xgoals_against,result,home_away,last_10_avg_goals_for,last_10_avg_goals_against,opp_last_10_goals_for,opp_last_10_goals_against,opp_last_10_xgoals_against,opp_last_10_xgoals_for
CHI,2022,2022020499,NYR,20221218,HOME,all,0.5673,0.5366,2.217,30,15,1,29,2,27,24,8,12,35,8,1,0.891,1.066,0.26,1,0,0,3.142,26,7,7,19,2,18,15,7,5,26,9,3,0.77,1.287,1.085,2,2,3,0.167,0,0.637,0,0,0,2.051,2.504,0.5195,0.5195,2.7254,3.425,0,1,1.9,4,3.5,2.7,3.2453000000000003,2.9003
CHI,2022,2022020521,NSH,20221221,HOME,all,0.4853,0.5,2.847,39,13,2,37,4,24,27,7,10,44,7,2,1.453,0.846,0.548,2,0,0,4.016,37,17,4,33,8,24,20,6,6,41,7,5,1.078,1.031,1.907,2,1,1,0.728,0.112,0.489,0.225,0.69,0.011,1.883,2.726,0.4699,0.4699,2.6228000000000002,3.5033000000000003,0,1,1.8,4.5,2.3,2.8,3.403,3.2117000000000004
CHI,2022,2022020540,CBJ,20221223,HOME,all,0.5042,0.5217,3.651,38,12,5,33,19,42,19,5,8,31,14,3,1.028,1.834,0.789,2,3,0,2.276,29,15,2,27,21,23,17,2,5,38,2,4,0.752,0.281,1.242,1,0,1,1.245,0.318,0.493,0.296,0.061,0.011,2.099,1.404,0.5424,0.5424,2.5802,3.5475000000000003,1,1,1.8,4.2,2.3,4.2,3.8609,3.1978999999999997
CHI,2022,2022020548,CAR,20221227,AWAY,all,0.3871,0.3474,2.008,24,15,0,24,6,29,30,7,7,25,5,3,0.55,0.594,0.864,0,0,0,4.048,49,14,3,46,6,23,14,7,7,42,16,4,1.282,1.749,1.017,0,1,2,0.478,0.057,0.76,0.01,0,0,1.52,3.232,0.3415,0.3415,2.66,3.4682000000000004,0,0,1.9,3.9,3.6,2.3,2.4699999999999998,3.3291000000000004
CHI,2022,2022020568,STL,20221229,AWAY,all,0.4659,0.4308,2.28,22,13,1,21,6,22,17,12,10,21,3,4,0.711,0.396,1.172,0,0,1,3.077,29,10,3,26,4,21,22,10,8,25,8,4,0.909,0.96,1.208,0,0,3,0.384,0.006,0.615,0.433,0.431,0.026,1.436,2.025,0.44,0.44,2.465,3.5268,0,0,1.4,4,3.5,3.2,3.5652999999999997,2.7018
CHI,2022,2022020583,CBJ,20221231,AWAY,all,0.4248,0.4725,1.766,28,5,1,27,6,38,19,6,3,34,9,0,0.588,1.179,0,0,1,0,3.53,38,17,4,34,10,26,20,5,4,34,11,3,1.148,1.268,1.114,1,2,1,0.056,0.123,0.746,0.308,0.435,0.165,1.237,2.227,0.4,0.4,2.4222,3.5512,0,0,1.5,4,2.3,4.1,3.9201,2.8667
CHI,2022,2022020593,SJS,20230101,HOME,all,0.4907,0.4935,1.653,22,15,2,20,4,25,22,13,13,34,3,1,0.929,0.475,0.248,0,2,0,3.731,28,16,5,23,6,24,16,3,5,27,5,7,0.94,0.506,2.285,1,1,3,0.296,0,0.077,0.096,0,0.039,1.222,3.654,0.4355,0.4355,2.4307,3.5564,0,1,1.6,4.1,3.3,4,2.9186,3.3659
CHI,2022,2022020605,TBL,20230103,HOME,all,0.4779,0.4304,2.265,26,20,1,25,10,34,18,19,8,26,4,4,0.685,0.538,1.042,0,0,1,4.259,29,14,4,25,12,27,11,8,5,29,11,5,0.874,1.443,1.941,0,1,3,0.741,0.205,0.726,0.063,0.429,0.166,1.294,2.899,0.3729,0.3729,2.4263,3.5186,0,1,1.7,4.3,3.9,2.3,2.9028,3.6368
CHI,2022,2022020625,ARI,20230106,HOME,all,0.604,0.6316,3.059,32,13,2,30,2,35,21,12,4,35,11,2,1.05,1.308,0.7,1,0,1,2.073,22,12,0,22,4,15,19,6,5,20,6,2,0.481,1.042,0.55,0,0,0,0.367,0,0,0.413,0,0,2.279,2.073,0.5942,0.5942,2.3068999999999997,3.5697,1,1,1.5,4,3.2,4,3.6619,3.2037
CHI,2022,2022020640,CGY,20230108,HOME,all,0.3534,0.3438,2.796,25,14,4,21,13,30,22,9,15,21,9,3,0.497,1.231,1.068,1,2,1,4.458,47,23,3,44,9,35,21,7,5,51,8,4,1.035,0.906,2.517,1,0,2,0,0.01,1.87,0.059,0.067,0,2.737,2.511,0.3951,0.3951,2.4222,3.3804000000000003,1,1,1.6,3.6,3.3,2.6,2.5518,3.3382999999999994
