Team,Season,gameId,OpposingTeam,gameDate,home_or_away,situation,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,blockedShotAttemptsFor,goalsFor,savedShotsOnGoalFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,xGoalsAgainst,shotsOnGoalAgainst,blockedShotAttemptsAgainst,goalsAgainst,savedShotsOnGoalAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,powerPlayxGoalsFor,powerPlayxGoalsAgainst,shortHandedxGoalsAgainst,otherxGoalsFor,otherxGoalsAgainst,shortHandedxGoalsFor,fiveOnFivexGoalsFor,fiveOnFivexGoalsAgainst,fiveOnfiveFenwickPercentage,fiveOnfiveCorsiPercentage,last_10_avg_xgoals_for,last_10_avg_xgoals_against,result,home_away,last_10_avg_goals_for,last_10_avg_goals_against,opp_last_10_goals_for,opp_last_10_goals_against,opp_last_10_xgoals_against,opp_last_10_xgoals_for
NYR,2022,2022020003,TBL,20221011,HOME,all,0.6068,0.5904,5.589,39,22,3,36,12,30,24,19,17,26,14,9,1.008,1.556,3.025,1,2,0,2.754,26,12,1,25,8,17,19,8,15,24,6,4,0.635,0.757,1.362,0,0,1,2.23,0,0.088,0.875,1.387,0.372,2.112,1.279,0.5556,0.5556,,,1,1,,,,,,
NYR,2022,2022020017,MIN,20221013,AWAY,all,0.4655,0.4556,3.165,35,13,7,28,17,29,27,4,1,29,9,3,0.641,1.088,1.436,1,3,3,4.457,36,13,3,33,19,29,20,9,6,30,13,6,1.092,1.703,1.662,0,2,1,0.886,0.148,0.892,0.61,1.59,0.016,1.653,1.827,0.5,0.5,5.589,2.754,1,0,3,1,,,,
NYR,2022,2022020023,WPG,20221014,AWAY,all,0.5185,0.5481,2.814,41,13,1,40,6,28,25,3,20,46,10,1,1.318,1.288,0.208,1,0,0,4.221,34,18,4,30,4,29,28,12,17,30,14,3,1.191,1.633,1.397,1,2,1,0.13,0,0.479,0.367,1.082,0.06,2.257,2.66,0.5366,0.5366,4.377000000000001,3.6055,0,0,5,2,,,,
NYR,2022,2022020039,ANA,20221017,HOME,all,0.6481,0.6988,3.741,43,12,6,37,2,30,27,5,5,41,15,2,1.413,1.795,0.533,1,5,0,1.628,22,13,4,18,8,28,17,4,10,17,6,2,0.536,0.593,0.499,3,0,1,1.106,0.01,0.023,0,0,0.034,2.6,1.596,0.6765,0.6765,3.8560000000000003,3.8106666666666666,1,1,3.6666666666666665,2.6666666666666665,3,5.5,4.449,2.3724999999999996
NYR,2022,2022020064,SJS,20221020,HOME,all,0.5,0.5432,2.97,23,11,2,21,6,24,33,5,8,31,10,3,1.134,1.138,0.698,2,0,0,3.12,27,18,3,24,10,33,19,5,6,27,7,3,0.838,0.899,1.384,1,1,1,0.85,0,0.947,0,0.506,0,2.12,1.668,0.5397,0.5397,3.8272500000000003,3.265,0,1,4.25,3,1.6,3.8,3.118,2.5904
NYR,2022,2022020089,CBJ,20221023,HOME,all,0.625,0.6282,2.571,31,21,1,30,2,34,26,5,10,38,11,0,1.374,1.198,0,0,1,0,1.953,21,13,5,16,6,17,15,9,6,22,4,3,0.747,0.592,0.613,3,2,0,0.372,0.012,0.009,0.424,0,0.05,1.726,1.932,0.5781,0.5781,3.6558,3.2359999999999998,0,1,3.8,3,2.8333333333333335,4.333333333333333,3.16,2.8516666666666666
NYR,2022,2022020099,COL,20221025,HOME,all,0.529,0.5545,4.176,46,12,2,44,6,35,39,5,11,45,13,3,1.323,1.59,1.264,0,1,1,4.204,44,16,2,42,8,27,24,5,3,34,11,4,0.889,1.129,2.186,0,1,1,1.825,0.116,1.74,0.506,0.094,0,1.844,2.253,0.519,0.519,3.475,3.0221666666666667,0,1,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.1666666666666665,2.9506666666666668,3.0378333333333334
NYR,2022,2022020108,NYI,20221026,AWAY,all,0.5714,0.5833,3.384,41,16,0,41,6,24,43,4,15,44,8,4,1.046,0.989,1.349,0,0,0,2.71,29,14,3,26,6,25,35,10,10,27,12,1,0.999,1.469,0.242,1,2,0,0.103,0.056,0.52,0,0,0.01,3.27,2.133,0.5844,0.5844,3.575142857142857,3.191,0,0,3.142857142857143,3.142857142857143,3.1666666666666665,3,3.4755000000000003,3.5595
NYR,2022,2022020127,DAL,20221029,AWAY,all,0.5085,0.5059,4.123,27,17,6,21,12,28,18,8,8,28,9,6,0.702,1.028,2.393,2,1,3,2.462,33,16,3,30,14,24,13,5,5,31,9,2,0.833,1.108,0.521,2,0,1,1.365,0.426,0.37,0.417,0.096,0,2.341,1.57,0.5303,0.5303,3.55125,3.130875,1,0,2.75,3.125,3.125,1.875,3.35925,3.599125
NYR,2022,2022020141,ARI,20221030,AWAY,all,0.58,0.622,3.981,39,7,3,36,2,31,34,5,9,40,8,3,1.235,1.135,1.612,1,1,1,2.213,20,11,2,18,6,26,27,3,11,19,11,1,0.611,1.379,0.222,0,2,0,0.702,0,0.133,0.737,0,0,2.542,2.08,0.5714,0.5714,3.614777777777778,3.0565555555555557,1,0,3.111111111111111,3.111111111111111,3,4.571428571428571,4.277428571428572,2.262857142857143
NYR,2022,2022020149,PHI,20221101,HOME,all,0.646,0.6905,4.61,36,15,1,35,10,21,27,9,16,38,15,5,1.405,1.848,1.357,0,1,0,2.472,19,14,0,19,10,29,14,5,12,19,5,2,0.5,0.66,1.311,0,0,0,0.619,0,1.321,0.594,0.167,0.27,3.127,0.984,0.6613,0.6613,3.6514,2.9722,1,1,3.1,3,3,2.625,3.617375,2.813375
NYR,2022,2022020161,BOS,20221103,HOME,all,0.3796,0.3704,1.498,20,11,2,18,16,16,39,13,12,24,5,1,0.721,0.558,0.219,1,1,0,3.437,37,16,5,32,14,25,21,9,18,34,14,3,0.95,1.618,0.868,4,0,1,0.045,0.331,0.146,0.021,0.426,0,1.432,2.533,0.4242,0.4242,3.5535000000000005,2.944,0,1,2.9,2.9,4.4,2.6,2.9933,3.7418
NYR,2022,2022020190,DET,20221106,HOME,all,0.5122,0.4767,1.912,29,22,2,27,8,29,31,5,7,32,9,0,0.798,1.115,0,1,1,0,2.837,36,15,3,33,4,32,23,3,4,36,5,4,0.802,0.518,1.516,0,1,2,0.248,0,0.135,0,0.924,0,1.664,1.778,0.5606,0.5606,3.3868,2.842,0,1,2.4,3.1,3.1,3.3,2.93,2.5148
NYR,2022,2022020198,NYI,20221108,HOME,all,0.5702,0.5977,3.866,40,17,3,37,6,32,31,9,9,38,10,4,1.414,1.419,1.033,1,2,0,2.549,26,17,4,22,8,24,18,7,8,27,6,2,0.519,0.64,1.391,1,1,2,0.952,0,1.472,0.084,0,0.059,2.772,1.078,0.5902,0.5902,3.2966,2.7036000000000002,0,1,2.5,3,3.2,2.7,3.2852000000000006,3.0663
NYR,2022,2022020217,DET,20221110,AWAY,all,0.602,0.6111,3.022,33,15,8,25,4,22,25,3,7,36,3,5,1.132,0.308,1.582,5,1,2,1.26,20,11,2,18,6,23,31,4,3,25,3,0,0.759,0.501,0,1,1,0,0.672,0,0.112,0,0,0.107,2.243,1.148,0.5833,0.5833,3.3091,2.7957,1,0,2.2,3,2.7,3,2.5391000000000004,2.6699
NYR,2022,2022020232,NSH,20221112,AWAY,all,0.6186,0.6375,3.3,35,22,1,34,18,26,32,4,4,40,8,3,1.149,1.052,1.099,0,0,1,2.117,18,16,2,16,22,25,25,6,4,20,8,1,0.843,1.067,0.207,0,1,1,0.189,0.401,0.44,0.969,0,0.116,2.026,1.276,0.5882,0.5882,3.3143000000000002,2.6097,0,0,2.8,2.9,2.8,3.7,3.5576,3.5197000000000003
NYR,2022,2022020239,ARI,20221113,HOME,all,0.43,0.4286,2.449,27,13,4,23,14,20,31,16,14,18,11,1,0.646,1.541,0.262,0,3,1,2.388,32,17,1,31,10,32,19,7,13,33,5,2,0.651,0.655,1.081,0,0,1,0.918,0.016,1.144,0.043,0.014,0.295,1.193,1.214,0.3636,0.3636,3.3872,2.6261,1,1,2.8,2.6,2.8,3,3.7979999999999996,2.4106
NYR,2022,2022020271,SEA,20221117,AWAY,all,0.4746,0.4421,3.686,30,14,2,28,6,22,24,6,1,28,10,4,0.771,1.146,1.77,0,0,2,4.324,32,9,3,29,8,27,22,9,10,30,20,3,1.012,2.557,0.755,1,2,0,0.614,0,0.478,1.167,0.211,0.134,1.771,3.635,0.3973,0.3973,3.2145,2.4445,0,0,3,2.5,3.5,2.3,2.8415,2.9559
NYR,2022,2022020288,SJS,20221119,AWAY,all,0.6271,0.617,3.297,43,16,2,41,2,24,32,12,9,48,8,2,1.408,0.826,1.063,0,1,1,2.272,23,8,1,22,6,36,19,16,11,24,11,1,0.812,1.257,0.202,0,1,0,0.135,0.042,0.322,1.378,0.231,0.066,1.718,1.678,0.5775,0.5775,3.2447000000000004,2.6059,1,0,3.2,2.5,3.8,3.9,3.177,3.4987000000000004
NYR,2022,2022020302,LAK,20221122,AWAY,all,0.4722,0.4267,2.864,25,19,5,20,4,28,41,2,9,25,5,2,0.958,0.653,1.253,3,0,2,2.883,38,14,3,35,2,31,27,7,7,33,6,4,1.008,0.789,1.086,1,1,1,0,0,0.166,1.389,0.124,0,1.475,2.593,0.4203,0.4203,3.1620999999999997,2.5869,1,0,2.8,2.3,2.6,2.9,2.4262,3.114
NYR,2022,2022020314,ANA,20221123,AWAY,all,0.6349,0.625,3.841,43,20,2,41,6,22,21,9,8,43,13,4,1.201,1.648,0.992,1,1,0,3.562,22,10,3,19,8,24,18,7,6,21,11,4,0.688,1.511,1.363,2,1,0,0.067,0.132,0.2,0.274,0.719,0.283,3.218,2.511,0.6154,0.6154,3.0504000000000002,2.6538999999999997,0,0,3,2.4,2.8,4.3,4.2013,2.9001
NYR,2022,2022020332,EDM,20221126,HOME,all,0.3495,0.3293,1.706,23,9,3,20,6,27,21,9,15,21,3,3,0.54,0.418,0.748,1,2,0,3.858,32,12,4,28,6,28,17,4,8,43,8,4,1.267,0.927,1.664,3,0,1,0.392,0.654,0.72,0,0.268,0,1.314,2.216,0.3284,0.3284,2.9735,2.7628999999999997,0,1,3.1,2.7,2.5,4,3.0645,3.3831
NYR,2022,2022020346,NJD,20221128,HOME,all,0.5303,0.5189,3.376,38,15,3,35,6,19,24,9,12,36,18,1,0.975,2.197,0.204,1,2,0,4.02,38,11,5,33,8,28,12,11,8,42,4,5,0.885,0.513,2.622,1,2,2,1.652,0,0.094,0.017,1.947,0,1.706,1.978,0.4932,0.4932,2.9943,2.805,0,1,3.2,2.6,3.8,1.7,2.6289000000000002,3.6041000000000003
NYR,2022,2022020362,OTT,20221130,AWAY,all,0.5074,0.5248,3.505,36,16,3,33,8,15,30,3,10,39,11,3,1.112,1.278,1.114,0,3,0,3.681,35,19,1,34,6,36,31,5,16,29,16,3,0.874,2.052,0.755,1,0,0,0.156,0,0.509,0.668,0.45,0.285,2.396,2.722,0.5256,0.5256,3.1407,2.9233000000000002,1,0,3.3,2.8,2.8,3.3,3.5439999999999996,3.9097
NYR,2022,2022020376,OTT,20221202,HOME,all,0.5042,0.4556,3.164,27,19,2,25,18,35,23,9,17,29,7,5,0.967,0.779,1.419,1,0,1,3.911,37,10,3,34,14,37,26,7,9,34,12,3,0.985,1.569,1.357,0,1,2,0.849,0.042,0.959,0.284,0.559,0.034,1.997,2.351,0.4921,0.4921,3.1046,3.0364999999999998,0,1,3.3,2.5,2.5,3,3.5863,3.8096000000000005
NYR,2022,2022020387,CHI,20221203,HOME,all,0.625,0.6494,3.462,28,20,2,26,25,29,31,4,9,34,13,3,1.157,1.462,0.843,1,0,1,3.958,21,15,5,16,25,25,30,6,6,19,3,5,0.356,0.399,3.203,0,1,4,0.719,0.012,1.028,0.673,2.197,0,2.07,0.722,0.6909,0.6909,3.1188,3.3015999999999996,0,1,2.7,2.6,2.2,4.3,3.4103000000000003,2.8327
NYR,2022,2022020398,STL,20221205,HOME,all,0.4316,0.4143,1.895,24,12,6,18,10,34,25,10,9,20,7,2,0.697,0.76,0.438,4,1,1,3.576,29,13,4,25,4,28,21,4,4,25,10,6,0.613,1.257,1.707,0,1,3,0.057,0,0.578,0,0.686,0.555,1.283,2.312,0.434,0.434,3.1350000000000002,3.4857,1,1,2.8,2.9,3.4,4,3.6864000000000003,2.8039
NYR,2022,2022020417,VGK,20221207,AWAY,all,0.5,0.5867,2.629,37,13,5,32,13,28,32,6,9,36,5,3,0.687,0.539,1.402,1,2,2,2.51,26,26,1,25,27,33,22,9,7,18,12,1,0.577,1.389,0.544,0,0,1,0.656,0,0.578,0.59,0.797,0,1.383,1.134,0.5882,0.5882,3.0796,3.6045000000000003,1,0,3,3.2,3.1,2.9,3.0731,3.113
NYR,2022,2022020430,COL,20221209,AWAY,all,0.4215,0.4066,1.446,29,14,1,28,2,25,24,3,7,32,3,2,0.694,0.312,0.44,1,0,0,3.473,42,16,1,41,2,26,23,9,11,48,2,4,1.708,0.318,1.447,1,0,0,0,0.017,0.337,0.055,0.251,0,1.392,2.868,0.443,0.443,2.9739,3.4231000000000003,0,0,3.3,3,2.6,3.2,2.9798,2.9021
NYR,2022,2022020450,NJD,20221212,HOME,all,0.4369,0.4375,1.724,23,10,4,19,6,22,32,10,18,28,6,1,0.742,0.656,0.326,2,2,0,2.51,29,13,3,26,6,31,19,3,9,34,11,0,1.229,1.281,0,2,1,0,0.781,0,0.077,0.066,0.267,0.225,0.652,2.165,0.375,0.375,2.7888,3.5432,1,1,3.2,3,3.7,2.2,2.7191,3.2409
NYR,2022,2022020476,TOR,20221215,HOME,all,0.4316,0.4286,2.728,20,11,3,17,6,25,19,14,9,21,6,3,0.491,0.712,1.525,1,1,1,2.259,23,14,1,22,2,24,8,11,29,30,9,1,0.782,1.197,0.28,0,0,1,0.224,0,0.052,1.217,0,0.546,0.741,2.207,0.3519,0.3519,2.6748000000000003,3.5058999999999996,1,1,3.1,3,4.1,1.6,2.9293,3.4561
NYR,2022,2022020489,PHI,20221217,AWAY,all,0.5041,0.5435,5.074,35,11,6,29,8,28,20,9,5,33,11,6,0.923,1.408,2.743,1,2,3,2.555,32,18,3,29,2,26,22,6,15,34,6,2,1.256,0.776,0.523,1,1,1,0.035,0.238,0.393,1.665,0.153,0.023,3.35,1.771,0.5658,0.5658,2.5635000000000003,3.3756,1,0,3.2,2.8,2.3,3.1,2.8438,2.6353999999999997
NYR,2022,2022020499,CHI,20221218,AWAY,all,0.4327,0.4634,3.142,26,7,7,19,2,18,15,7,5,26,9,3,0.77,1.287,1.085,2,2,3,2.217,30,15,1,29,2,27,24,8,12,35,8,1,0.891,1.066,0.26,1,0,0,0.637,0,0.167,0,0,0,2.504,2.051,0.4805,0.4805,2.9003,3.2453000000000003,1,0,3.5,2.7,1.9,4,3.425,2.7254
NYR,2022,2022020511,PIT,20221220,AWAY,all,0.5943,0.5753,2.054,28,21,2,26,6,25,26,8,6,34,7,1,0.923,0.905,0.227,1,1,0,2.302,24,12,3,21,6,32,32,6,17,17,13,1,0.411,1.675,0.215,1,2,0,0.065,0,0.346,0.54,0,0.063,1.387,1.956,0.5179,0.5179,2.8769,3.065,0,0,3.9,2.3,3.2,2.3,2.6754000000000002,3.6486000000000005
NYR,2022,2022020527,NYI,20221222,HOME,all,0.6226,0.6582,3.324,34,14,5,29,2,29,17,9,10,43,6,3,1.519,0.863,0.943,1,3,1,1.493,18,13,3,15,12,23,26,5,6,22,3,2,0.671,0.38,0.443,2,1,0,0.821,0,0.023,0.76,0.401,0.244,1.5,1.069,0.6038,0.6038,2.7318000000000002,2.9271000000000003,1,1,3.8,2.5,2.7,3.1,3.4782,3.0606
NYR,2022,2022020549,WSH,20221227,HOME,all,0.6339,0.6044,3.315,32,16,0,32,4,24,18,11,14,42,11,2,1.544,1.251,0.52,0,0,0,3.533,30,5,4,26,10,30,19,7,7,28,5,3,0.91,0.506,2.116,0,1,3,1.616,0.01,0.027,0.278,1.788,0.031,1.39,1.708,0.5246,0.5246,2.7478000000000002,2.6853000000000002,0,1,4.1,2.5,4,1.9,2.6,3.8270000000000004
NYR,2022,2022020565,TBL,20221229,AWAY,all,0.5125,0.5372,3.122,46,17,1,45,2,21,40,4,5,54,10,1,1.503,1.29,0.329,0,1,0,4.365,40,22,1,39,6,34,40,8,14,36,14,6,1.158,1.743,1.464,0,1,0,0.112,0,0.159,0.38,0.23,0,2.63,3.976,0.4792,0.4792,2.7331,2.6428000000000003,0,0,3.9,2.4,3.9,2.6,3.2731000000000003,3.7429
NYR,2022,2022020591,FLA,20230101,AWAY,all,0.4455,0.4268,2.066,28,14,5,23,8,24,16,6,5,28,4,3,0.554,0.496,1.016,3,0,2,3.652,35,14,3,32,8,32,23,6,7,33,10,4,1.069,1.207,1.376,2,1,0,0.64,0.06,0.947,0.018,0.321,0.01,1.398,2.325,0.4138,0.4138,2.8558,2.7217,1,0,3.4,2.1,2.6,3.7,3.8531,3.3024999999999998
NYR,2022,2022020600,CAR,20230103,HOME,all,0.5361,0.5556,2.699,31,12,5,26,8,28,17,6,18,28,10,2,0.833,1.271,0.596,4,0,1,3.121,23,13,3,20,12,25,14,3,11,22,6,4,0.526,0.695,1.9,1,2,0,0.541,0,1.948,0.287,0,0.126,1.746,1.173,0.549,0.549,2.7994999999999997,2.8359,1,1,3.4,2.3,3.7,2.1,2.4106,3.7682
NYR,2022,2022020613,MTL,20230105,AWAY,all,0.5586,0.5844,2.111,31,17,4,27,2,26,17,5,9,38,5,2,0.866,0.624,0.622,2,0,2,2.11,18,17,1,17,4,25,21,8,11,25,4,3,0.846,0.598,0.666,0,1,0,0.066,0.158,0.346,0.318,0,0.497,1.231,1.605,0.5645,0.5645,2.9248,2.8007,1,0,3.8,2.5,1.9,4.7,4.276400000000001,2.1525
NYR,2022,2022020628,NJD,20230107,AWAY,all,0.4225,0.4747,3.073,34,13,3,31,8,37,19,1,4,34,11,2,1.16,1.323,0.59,0,2,1,5.048,43,30,4,39,4,31,21,3,4,27,19,6,0.902,2.553,1.593,1,2,1,0.058,0.029,0.99,0.183,0.613,0.111,2.722,3.415,0.5132,0.5132,2.9635,2.7607,0,0,3.8,2.3,2.8,3.1,3.5369,3.4059
NYR,2022,2022020649,MIN,20230110,HOME,all,0.6475,0.5865,4.79,43,29,3,40,4,39,19,7,10,39,16,6,1.146,1.887,1.757,0,3,0,2.771,32,6,3,29,6,30,26,3,5,31,9,3,0.843,1.002,0.926,3,0,0,0.322,0,0.057,1.486,0.839,0,2.982,1.875,0.5432,0.5432,2.998,3.0396,0,1,3.8,2.6,3.4,2.6,3.1753,3.1508000000000003
NYR,2022,2022020663,DAL,20230112,HOME,all,0.5893,0.6027,1.905,31,22,2,29,2,28,14,8,18,36,8,0,1.127,0.778,0,0,2,0,2.287,25,17,1,24,8,21,16,5,10,23,3,3,0.576,0.43,1.281,0,0,1,0.668,0,0.636,0.346,0,0,0.891,1.65,0.5091,0.5091,2.9696,3.0612000000000004,1,1,3.5,2.6,2.9,2.1,2.909,3.7034999999999996
NYR,2022,2022020691,MTL,20230115,HOME,all,0.6212,0.58,3.633,39,24,1,38,4,23,24,9,12,45,10,3,1.707,1.157,0.77,1,0,0,3.246,31,8,2,29,4,19,14,9,6,27,12,3,0.953,1.384,0.909,0,1,1,0.533,0.041,0.47,0.336,0,0.314,2.45,2.735,0.5238,0.5238,2.8459,3.0682,0,1,3,2.6,2.1,4.7,3.9485,2.4625
NYR,2022,2022020701,CBJ,20230116,AWAY,all,0.6017,0.6024,4.149,33,21,3,30,8,26,13,6,3,37,9,4,1.029,1.21,1.91,1,0,2,3.44,25,14,1,24,10,27,21,7,5,19,9,5,0.478,1.053,1.909,1,0,0,1.551,0,1.127,0.267,1.666,0.264,2.066,0.648,0.6731,0.6731,3.0038,3.1626000000000003,1,0,2.9,2.5,2.1,3.7,3.1727,2.3385
NYR,2022,2022020718,BOS,20230119,HOME,all,0.5833,0.5357,2.653,32,25,1,31,8,26,22,15,11,34,10,1,1.253,1.163,0.236,1,0,0,2.704,27,11,3,24,6,27,21,3,4,29,7,3,0.9,0.847,0.957,1,2,0,0.388,0,0.463,0.38,0.14,0,1.885,2.1,0.5224,0.5224,3.0863,3.3573,0,1,2.7,2.3,3.8,1.8,2.8927,3.3575000000000004
NYR,2022,2022020751,FLA,20230123,HOME,all,0.4274,0.4458,4.799,26,13,6,20,2,34,22,10,14,24,8,5,0.901,0.987,2.911,2,1,3,2.911,35,21,2,33,2,33,16,6,16,33,9,4,0.852,0.964,1.095,0,0,2,0.256,0.013,0.493,2.286,0.369,0,2.257,2.036,0.4462,0.4462,3.0201000000000002,3.2744,1,1,2.8,2.2,3.9,3.2,3.5459000000000005,3.7420999999999998
NYR,2022,2022020767,TOR,20230125,AWAY,all,0.437,0.4516,2.02,29,10,2,27,6,26,35,8,8,31,9,2,0.62,0.953,0.447,2,0,0,4.942,35,16,3,32,2,26,14,9,8,27,17,7,0.814,2.125,2.002,1,1,1,0.047,0,1.332,0,0.249,0.068,1.905,3.361,0.4583,0.4583,3.1878,3.129,0,0,3.3,2.3,3.3,2.7,3.2837000000000005,3.6378
NYR,2022,2022020784,VGK,20230127,HOME,all,0.5333,0.5437,3.12,40,8,4,36,9,25,29,11,9,44,10,2,1.017,1.236,0.867,2,1,1,2.1,34,9,1,33,9,31,31,6,3,39,6,2,0.932,0.676,0.492,1,0,0,0.419,0.294,0.071,0.704,0,0.176,1.822,1.736,0.5625,0.5625,3.1832000000000003,3.258,1,1,3,2.3,2.7,3.1,3.0435,2.6516
NYR,2022,2022020809,CGY,20230206,HOME,all,0.4919,0.5106,3.864,33,13,5,28,19,26,25,13,16,28,19,1,0.995,2.479,0.389,0,4,1,1.927,32,17,4,28,21,34,25,4,14,41,4,1,0.924,0.488,0.516,1,2,1,1.012,0.176,0.592,0.767,0.025,0.028,2.057,1.134,0.4848,0.4848,3.2253,3.1559,1,1,2.9,2.1,3.4,3.3,2.9925,3.9984
NYR,2022,2022020819,VAN,20230208,HOME,all,0.5222,0.5077,2.52,21,14,4,17,2,26,25,9,20,23,7,3,0.777,0.896,0.848,1,1,2,1.483,25,11,3,22,6,26,21,11,11,26,6,0,0.647,0.836,0,2,1,0,0.349,0,0.015,0,0,0,2.171,1.468,0.4833,0.4833,3.4006,3.1376,1,1,3,2.4,3,4,3.0545,3.2037
NYR,2022,2022020828,SEA,20230210,HOME,all,0.4262,0.4667,4.057,28,10,6,22,10,34,30,14,9,26,11,5,0.829,1.249,1.979,0,2,4,3.752,29,22,3,26,6,23,23,7,6,33,11,4,0.733,1.428,1.591,1,0,2,1.271,0.189,0.372,0.816,1.133,0.149,1.821,2.058,0.4127,0.4127,3.3453000000000004,2.7811,1,1,3.1,2.3,2.8,3.2,3.1862,2.7077999999999998
NYR,2022,2022020841,CAR,20230211,AWAY,all,0.3846,0.3951,3.276,19,8,6,13,4,27,23,8,19,21,9,2,0.636,1.069,1.571,1,3,2,3.676,29,15,2,27,2,35,29,3,19,36,6,7,1.027,0.896,1.753,1,0,1,0.815,0,0.153,0.896,0,0,1.565,3.523,0.375,0.375,3.272,2.8792,1,0,3.4,2.3,4.3,2.2,2.5103,3.8308
NYR,2022,2022020869,VAN,20230215,AWAY,all,0.449,0.4861,3.243,28,9,6,22,4,21,24,5,4,24,7,4,0.707,0.849,1.687,4,1,1,2.559,29,17,4,25,2,36,31,12,11,28,6,3,0.865,0.825,0.869,1,1,2,0.035,0,0.198,1.122,0,0,2.085,2.36,0.4762,0.4762,3.4091,3.0181,1,0,3.8,2.4,3,4.3,2.8155,2.9188
NYR,2022,2022020881,EDM,20230217,AWAY,all,0.5289,0.5652,3.596,38,12,4,34,8,30,29,9,7,42,6,4,1.213,0.593,1.79,2,0,2,4.589,29,17,4,25,8,32,20,11,11,16,18,6,0.505,2.168,1.917,1,2,1,0.711,0,1.876,0.793,0.665,0.046,2.046,2.048,0.5738,0.5738,3.3701,2.9494,0,0,4.3,2.6,4.1,2.9,2.714,4.0736
NYR,2022,2022020890,CGY,20230218,AWAY,all,0.3922,0.3553,2.831,20,13,2,18,6,23,26,5,20,16,8,3,0.576,1.112,1.144,0,1,1,3.043,32,13,3,29,4,22,21,17,10,37,9,3,1.301,0.973,0.769,0,3,0,0.579,0.095,0.236,0.194,0.161,0.097,1.961,2.551,0.3385,0.3385,3.3148000000000004,3.0643000000000002,0,0,4.4,2.9,3.4,3.5,3.22,3.7274000000000003
NYR,2022,2022020907,WPG,20230220,HOME,all,0.6757,0.7033,4.461,51,11,1,50,7,33,20,9,19,43,18,3,1.617,2.006,0.838,0,1,0,2.387,21,9,4,17,13,28,19,6,7,22,2,3,0.854,0.273,1.26,3,0,1,1.336,0,0.798,0,0,0.239,2.886,1.589,0.6622,0.6622,3.3326000000000002,3.0982,0,1,4.5,2.9,2.6,2.5,3.2700000000000005,3.8147999999999995
NYR,2022,2022020925,DET,20230223,AWAY,all,0.6036,0.5625,3.065,31,22,1,30,13,27,12,5,14,37,4,4,1.152,0.458,1.455,1,0,0,2.497,23,9,4,19,11,30,22,9,11,22,10,3,0.601,1.013,0.884,2,1,1,1.246,0.023,0.608,0.02,0,0.095,1.704,1.866,0.5902,0.5902,3.2988,3.0458000000000003,0,0,4,3.1,3.3,2.5,3.213,2.7293
NYR,2022,2022020937,WSH,20230225,AWAY,all,0.5254,0.5172,4.32,26,17,3,23,11,28,25,8,10,31,7,7,0.891,0.981,2.448,0,2,1,3.741,27,14,6,21,17,25,16,6,17,22,14,6,0.592,1.624,1.524,0,4,2,0.564,0.096,0.253,1.001,0.122,0.026,2.73,3.27,0.493,0.493,3.4033,2.8013000000000003,0,0,3.9,3.2,1.9,3.5,3.9402999999999997,3.3427999999999995
NYR,2022,2022020950,LAK,20230226,HOME,all,0.4336,0.4471,2.657,21,11,5,16,11,18,19,9,5,25,11,2,0.75,1.259,0.649,3,2,0,3.209,28,17,2,26,8,23,9,2,6,37,7,3,0.964,0.775,1.471,1,0,1,1.182,0,1.165,0.124,0.185,0,1.352,1.859,0.4426,0.4426,3.5233000000000003,2.9654,1,1,3.8,3.7,3.9,3.1,3.2494,3.2619
NYR,2022,2022020968,PHI,20230301,AWAY,all,0.5,0.4667,2.65,25,12,3,22,6,27,30,2,10,26,7,2,0.913,0.893,0.844,1,1,1,2.495,28,7,2,26,2,19,35,7,7,26,13,1,0.585,1.664,0.246,0,1,1,0.607,0,0.286,0.049,0,0.044,1.949,2.209,0.4412,0.4412,3.4026000000000005,3.0936,1,0,3.8,3.5,1.8,4,3.1396,2.1953
NYR,2022,2022020976,OTT,20230302,HOME,all,0.5424,0.5109,3.793,32,17,3,29,6,25,20,12,19,27,18,2,0.995,2.242,0.556,0,3,0,4.351,34,9,5,29,9,26,18,12,10,31,8,6,0.628,0.986,2.737,0,3,2,1.26,0.007,0.033,0.254,1.616,0.201,2.077,2.695,0.4242,0.4242,3.4156,3.1948,0,1,3.7,3.4,3.7,2.9,2.9805,3.0660999999999996
